NAME,BUS,BASE_KV,BASE_KW,BASE_KVAR,PHASES,LOADSHAPE,KWH,COMMUNITY
1FFLX387,BUSLVFLX408,0.24,1.0,0.1,1,curve332_00R,330.55,11
1FFLX388,BUSLVFLX172,0.24,1.0,0.1,1,curve390_02R,395.42,1
3FFLX389,BUSLVFLX1081,0.24,1.0,0.1,3,curve470_34R,475.07,13
1FFLX390,BUSLVFLX53,0.24,1.0,0.1,1,curve219_48R,219.36,20
1FFLX391,BUSLVFLX1180,0.24,1.0,0.1,1,curve264_00R,264.15,1
3FFLX392,BUSLVFLX1264,0.24,1.0,0.1,3,curve242_00R,241.72,11
1FFLX393,BUSLVFLX743,0.24,1.0,0.1,1,curve283_00R,279.81,3
1FFLX394,BUSLVFLX74,0.24,1.0,0.1,1,curve369_00R,373.88,12
1FFLX395,BUSLVFLX168,0.24,1.0,0.1,1,curve390_02R,387.79,14
1FFLX396,BUSLVFLX556,0.24,1.0,0.1,1,curve423_36R,428.16,1
3FFLX397,BUSLVFLX1206,0.24,1.0,0.1,3,curve390_02R,387.79,2
1FFLX398,BUSLVFLX349,0.24,1.0,0.1,1,curve255_96R,256.01,11
1FFLX399,BUSLVFLX969,0.24,1.0,0.1,1,curve325_00R,320.19,3
1FFLX400,BUSLVFLX1008,0.24,1.0,0.1,1,curve313_00R,310.04,12
1FFLX401,BUSLVFLX865,0.24,1.0,0.1,1,curve242_00R,241.72,29
1FFLX402,BUSLVFLX595,0.24,1.0,0.1,1,curve313_00R,315.1,29
1FFLX403,BUSLVFLX1035,0.24,1.0,0.1,1,curve361_00R,364.33,1
1FFLX404,BUSLVFLX856,0.24,1.0,0.1,1,curve361_00R,361.28,12
3FFLX405,BUSLVFLX1239,0.24,1.0,0.1,3,curve292_50R,294.98,17
3FFLX406,BUSLVFLX1289,0.208,1.0,0.1,3,curve346_00R,349.59,29
3FFLX407,BUSLVFLX1199,0.24,1.0,0.1,3,curve283_00R,284.9,13
3FFLX408,BUSLVFLX1203,0.24,1.0,0.1,3,curve264_00R,261.47,3
3FFLX409,BUSLVFLX1285,0.24,1.0,0.1,3,curve215_30R,215.84,17
1FFLX410,BUSLVFLX657,0.24,1.0,0.1,1,curve390_02R,387.79,1
3FFLX411,BUSLVFLX1200,0.24,1.0,0.1,3,curve413_00R,417.5,18
1FFLX412,BUSLVFLX41,0.24,1.0,0.1,1,curve325_00R,327.93,2
1FFLX413,BUSLVFLX176,0.24,1.0,0.1,1,curve230_00R,229.37,11
1FFLX414,BUSLVFLX229,0.24,1.0,0.1,1,curve255_96R,258.75,11
1FFLX415,BUSLVFLX402,0.24,1.0,0.1,1,curve292_50R,289.96,13
1FFLX416,BUSLVFLX1023,0.24,1.0,0.1,1,curve269_45R,266.81,1
3FFLX417,BUSLVFLX1134,0.24,1.0,0.1,3,curve283_00R,279.81,3
1FFLX418,BUSLVFLX523,0.24,1.0,0.1,1,curve413_00R,412.64,1
1FFLX419,BUSLVFLX224,0.24,1.0,0.1,1,curve423_36R,428.16,17
1FFLX420,BUSLVFLX215,0.24,1.0,0.1,1,curve361_00R,358.28,12
1FFLX421,BUSLVFLX275,0.24,1.0,0.1,1,curve299_22R,300.0,18
1FFLX422,BUSLVFLX355,0.24,1.0,0.1,1,curve369_00R,370.63,19
1FFLX423,BUSLVFLX80,0.24,1.0,0.1,1,curve269_45R,269.45,11
1FFLX424,BUSLVFLX896,0.24,1.0,0.1,1,curve423_36R,428.16,11
1FFLX425,BUSLVFLX671,0.24,1.0,0.1,1,curve401_82R,399.45,1
1FFLX426,BUSLVFLX1108,0.24,1.0,0.1,1,curve423_36R,422.65,17
1FFLX427,BUSLVFLX843,0.24,1.0,0.1,1,curve332_00R,333.19,12
1FFLX428,BUSLVFLX35,0.24,1.0,0.1,1,curve269_45R,266.81,12
1FFLX429,BUSLVFLX678,0.24,1.0,0.1,1,curve301_77R,302.51,17
1FFLX430,BUSLVFLX920,0.24,1.0,0.1,1,curve413_00R,412.64,3
1FFLX431,BUSLVFLX111,0.24,1.0,0.1,1,curve230_00R,229.37,3
1FFLX432,BUSLVFLX710,0.24,1.0,0.1,1,curve283_00R,282.36,1
1FFLX433,BUSLVFLX78,0.24,1.0,0.1,1,curve346_00R,346.77,18
1FFLX434,BUSLVFLX892,0.24,1.0,0.1,1,curve255_96R,256.01,16
3FFLX435,BUSLVFLX1104,0.24,1.0,0.1,3,curve413_00R,408.03,17
1FFLX436,BUSLVFLX1060,0.24,1.0,0.1,1,curve325_00R,320.19,1
3FFLX437,BUSLVFLX1165,0.24,1.0,0.1,3,curve242_00R,241.72,29
1FFLX438,BUSLVFLX436,0.24,1.0,0.1,1,curve235_80R,235.67,2
1FFLX439,BUSLVFLX422,0.24,1.0,0.1,1,curve339_00R,338.53,3
1FFLX440,BUSLVFLX698,0.24,1.0,0.1,1,curve423_36R,428.16,23
1FFLX441,BUSLVFLX191,0.24,1.0,0.1,1,curve264_00R,264.15,26
1FFLX442,BUSLVFLX1129,0.24,1.0,0.1,1,curve255_96R,258.75,3
1FFLX443,BUSLVFLX488,0.24,1.0,0.1,1,curve369_00R,373.88,26
1FFLX444,BUSLVFLX254,0.24,1.0,0.1,1,curve242_00R,241.72,25
3FFLX445,BUSLVFLX1162,0.24,1.0,0.1,3,curve380_00R,384.16,24
1FFLX446,BUSLVFLX430,0.24,1.0,0.1,1,curve413_00R,408.03,22
1FFLX447,BUSLVFLX1061,0.24,1.0,0.1,1,curve369_00R,370.63,23
3FFLX448,BUSLVFLX1209,0.24,1.0,0.1,3,curve292_50R,292.47,29
1FFLX449,BUSLVFLX445,0.24,1.0,0.1,1,curve346_00R,346.77,29
1FFLX450,BUSLVFLX565,0.24,1.0,0.1,1,curve361_00R,361.28,17
1FFLX451,BUSLVFLX96,0.24,1.0,0.1,1,curve413_00R,412.64,2
3FFLX452,BUSLVFLX1291,0.24,1.0,0.1,3,curve369_00R,370.63,18
1FFLX453,BUSLVFLX835,0.24,1.0,0.1,1,curve380_00R,384.16,11
