NAME,BUS_FROM,BUS_TO,LENGTH[M],GEOMETRY,BASE_KV
LV1FFLX194,BUSLVFLX221,BUSLVFLX220,8.5951,Linecode=TRPX6AAC,0.12
LV1FFLX195,BUSLVFLX220,BUSLVFLX223,1.4734,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX196,BUSLVFLX223,BUSLVFLX227,6.6159,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX197,BUSLVFLX235,BUSLVFLX223,11.0307,Linecode=TRPX6AAC,0.12
LV1FFLX198,BUSLVFLX228,BUSLVFLX225,2.9293,Linecode=TRPX4AAC,0.12
LV1FFLX199,BUSLVFLX229,BUSLVFLX225,3.2184,Linecode=TRPX4AAC,0.12
LV1FFLX200,BUSLVFLX230,BUSLVFLX225,3.4704,Linecode=TRPX4AAC,0.12
LV1FFLX201,BUSLVFLX231,BUSLVFLX225,3.7481,Linecode=TRPX4AAC,0.12
LV1FFLX202,BUSLVFLX227,BUSLVFLX233,4.7774,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX203,BUSLVFLX236,BUSLVFLX227,10.4667,Linecode=TRPX6AAC,0.12
LV1FFLX204,BUSLVFLX233,BUSLVFLX234,5.267,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX205,BUSLVFLX240,BUSLVFLX233,11.0563,Linecode=TRPX6AAC,0.12
LV1FFLX206,BUSLVFLX234,BUSLVFLX237,6.3574,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX207,BUSLVFLX244,BUSLVFLX234,11.0745,Linecode=TRPX6AAC,0.12
LV1FFLX208,BUSLVFLX238,BUSLVFLX237,8.7864,Linecode=TRPX6AAC,0.12
LV1FFLX209,BUSLVFLX237,BUSLVFLX239,3.0597,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX210,BUSLVFLX239,BUSLVFLX241,4.0399,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX211,BUSLVFLX247,BUSLVFLX239,10.7024,Linecode=TRPX6AAC,0.12
LV1FFLX212,BUSLVFLX241,BUSLVFLX242,2.8828,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX213,BUSLVFLX250,BUSLVFLX241,12.2955,Linecode=TRPX6AAC,0.12
LV1FFLX214,BUSLVFLX243,BUSLVFLX242,4.3809,Linecode=TRPX6AAC,0.12
LV1FFLX215,BUSLVFLX242,BUSLVFLX245,6.8122,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX216,BUSLVFLX246,BUSLVFLX245,7.9183,Linecode=TRPX6AAC,0.12
LV1FFLX217,BUSLVFLX245,BUSLVFLX248,3.3228,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX218,BUSLVFLX248,BUSLVFLX249,5.0606,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX219,BUSLVFLX251,BUSLVFLX248,11.2185,Linecode=TRPX6AAC,0.12
LV1FFLX220,BUSLVFLX249,BUSLVFLX252,10.8558,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX221,BUSLVFLX254,BUSLVFLX249,11.8387,Linecode=TRPX6AAC,0.12
LV1FFLX222,BUSLVFLX253,BUSLVFLX252,6.4689,Linecode=TRPX6AAC,0.12
LV1FFLX223,BUSLVFLX252,BUSLVFLX255,10.3067,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX224,BUSLVFLX255,BUSLVFLX256,8.2264,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX225,BUSLVFLX258,BUSLVFLX255,17.5778,Linecode=TRPX6AAC,0.12
LV1FFLX226,BUSLVFLX256,BUSLVFLX6,3.5596,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX227,BUSLVFLX256,BUSLVFLX257,7.1867,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX228,BUSLVFLX259,BUSLVFLX257,15.5491,Linecode=TRPX6AAC,0.12
LV1FFLX229,BUSLVFLX257,BUSLVFLX260,18.2694,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX230,BUSLVFLX260,BUSLVFLX261,14.466,Geometry=1FLV3/0AAC3/0AAC,0.12
